代理名称,代理代码
北京办事处（托管）,'010002
北京办事处（托管）,'010031
北京办事处（托管）,'010029
北京办事处（托管）,'010001
北京办事处（托管）,'010010
北京办事处（托管）,'010042
北京办事处（托管）,'003
北京办事处（直营）,'010009
北京办事处（直营）,'010036
北京办事处（直营）,'010034
成都办事处,'028009
成都办事处,'028001
成都办事处,'028010
福州办事处,'059102
福州办事处,'059104
福州办事处,'010
杭州办事处,'057120
杭州办事处,'057101
杭州办事处,'057108
杭州办事处,'057102
杭州办事处,'057115
杭州办事处,'001
江苏办事处,'051924
江苏办事处,'051001
南昌办事处,'018
江苏办事处,'016
南京办事处,'025002
南京办事处,'025008
南京办事处,'025015
南京办事处,'025003
南京办事处,'005
宁波办事处,'057405
宁波办事处,'057401
宁波办事处,'057404
宁波办事处,'006
上海办事处,'021077
上海办事处,'021014
上海办事处,'021021
上海办事处,'021056
上海办事处,'021058
上海办事处,'021051
上海办事处,'021015
上海办事处,'021012
上海办事处,'021019
上海办事处,'021040
上海办事处,'021074
上海办事处,'021034
上海办事处,'021033
上海办事处,'021081
上海办事处,'021080
上海办事处,'021087
上海办事处,'002
深圳办事处,'075606
深圳办事处,'020003
深圳办事处,'020001
深圳办事处,'075637
深圳办事处,'075637
深圳办事处,'075502
深圳办事处,'075501
深圳办事处,'075513
深圳办事处,'075521
深圳办事处,'075509
深圳办事处,'075517
深圳办事处,'075599
深圳办事处,'075645
深圳办事处,'004
沈阳办事处,'041005
苏州办事处,'051205
苏州办事处,'051207
天津办事处,'022002
天津办事处,'012
武汉办事处,'011
浙江办事处,'017
重庆办事处,'023002
重庆办事处,'023008
重庆办事处,'013
珠海办事处,'022
北京办事处（直营）,'U010034
沈阳办事处,'U041005
福州办事处,'U010
杭州办事处,'U017
江苏办事处,'U016
南京办事处,'U005
上海办事处,'U002
深圳办事处,'U004
成都办事处,'U007
天津办事处,'U012
武汉办事处,'U011
重庆办事处,'U013
深圳办事处,'U004
深圳办事处,'U004
